_id,make,model,year,body_type,fuel,mpgCityHwy,seats,doors
39,Mazda,3,2014,compact,gasoline,"[30,41]",5,4
40,Volkswagen,Golf,2017,compact,premium,"[25,36]",5,4
41,Kia,Forte,2015,compact,gasoline,"[26,39]",5,4
42,Hyundai,Elantra,2014,compact,gasoline,"[28,38]",5,2
43,Nissan,Sentra,2017,compact,gasoline,"[29,37]",5,4
44,Subaru,Impreza,2020,compact,gasoline,"[28,36]",5,4
45,Chevrolet,Cruze,2019,compact,gasoline,"[31,48]",5,4
46,Toyota,Yaris,2017,compact,gasoline,"[30,36]",5,4
47,Kia,Rio,2019,compact,gasoline,"[28,37]",5,4
48,Audi,A3,2020,compact,gasoline,"[27,36]",5,4
49,MINI,Cooper,2017,compact,gasoline,"[28,38]",4,2
50,Nissan,Leaf,2015,compact,hybrid,"[126,101,""84 miles battery-only""]",5,4
51,Subaru,WRX,2021,compact,gasoline,"[20,27]",5,4
52,Chevrolet,Spark,2016,compact,gasoline,"[31,41]",4,2
53,Ford,C-Max Hybrid,2018,compact,gasoline,"[42,38]",5,4
54,Chevrolet,Cobalt,2010,compact,gasoline,"[25,37]",5,4
55,Mitsubishi,i-MiEV,2016,compact,hybrid,"[126,99,""62 miles battery-only""]",4,4
56,Cadillac,CT4,2021,luxury compact,hybrid,"[23,34]",5,4
57,Toyota,Corolla,2019,compact,gasoline,"[30,40]",5,4
58,Subaru,Forester,2015,compact suv,gasoline,"[24,32]",5,4
59,Chevrolet,Equinox,2018,compact suv,gasoline,"[28,39]",5,4
60,Chevrolet,Suburban,2012,suv,gasoline,"[22,29]",8,4
61,Hyundai,Santa Fe,2020,compact suv,gasoline,"[15,21]",5,4
62,Honda,CR-V,2014,compact suv,gasoline,"[23,31]",5,4
63,Ford,Expedition,2013,suv,gasoline,"[14,20]",8,4
64,GMC,Acadia,2017,suv,gasoline,"[21,26]",7,4
65,Toyota,Sienna,2021,suv,hybrid,"[36,36]",7,4
66,Nissan,Quest,2016,suv,gasoline,"[20,27]",7,4
67,Kia,Sedona,2019,suv,gasoline,"[18,24]",8,4
68,Cadillac,Escalade,2020,luxury suv,gasoline,"[14,23]",7,4
69,Tesla,Model X,2017,luxury suv,electric,350 miles/charge,5,4
70,Ford,Explorer,2016,suv,gasoline,"[19,28]",7,4
71,Toyota,RAV4,2018,compact suv,gasoline,"[23,30]",5,4
72,Subaru,Crosstrek,2016,compact suv,gasoline,"[26,34]",5,4
73,Lexus,RX,2019,luxury suv,gasoline,"[26,34]",7,4
74,Dodge,Journey,2020,suv,gasoline,"[19,25]",7,4
75,Jeep,Cherokee,2015,compact suv,gasoline,"[22,31]",5,4
76,Jeep,Renegade,2016,compact suv,gasoline,"[24,31]",5,4
77,Audi,Q7,2015,luxury suv,gasoline,"[19,28]",7,4
78,Ford,Edge,2013,suv,gasoline,"[19,28]",5,4
79,Mazda,CX-9,2018,suv,gasoline,"[22,28]",7,4
80,Lexus,NX,2015,compact suv,gasoline,"[22,28]",5,4
81,Kia,Telluride,2021,suv,gasoline,"[20,26]",7,4
82,Chevrolet,Corvette,2020,sport,gasoline,"[15,27]",2,2
83,Toyota,Supra,2020,sport,premium,"[24,31]",2,2
84,Chevrolet,Camaro,2017,sport,premium,"[22,31]",4,2
85,Lexus,LC,2019,sport,premium,"[22,31]",4,2
86,Audi,R8,2015,sport,premium,"[13,22]",2,2
87,Mazda,MX-5 Miata,2016,sport,premium,"[27,36]",2,2
88,Pontiac,Fiero,1988,sport,gasoline,"[21,28]",2,2
89,Nissan,GT-R,2017,sport,premium,"[21,28]",2,2
90,Ford,Mustang Shelby GT500,2021,sport,premium,"[12,18]",4,2
91,Dodge,Challenger,2012,sport,gasoline,"[18,27]",5,2
92,Nissan,370Z,2018,sport,premium,"[19,26]",2,2
93,Subaru,BRZ,2016,sport,premium,"[25,34]",2,2
94,Honda,Civic Type R,2019,sport,premium,"[22,28]",4,4
95,Volkswagen,Golf R,2019,sport,premium,"[23,30]",4,4
96,Hyundai,Veloster,2015,sport,gasoline,"[27,36]",4,2
97,Kia,Stinger,2021,sport,premium,"[22,29]",4,4
98,Kia,Stinger,2022,sport,premium,"[18,27]",4,4
99,Tesla,Roadster,2021,sport,electric,"[""620 miles/charge""]",2,2
100,Audi,TT,2013,sport,premium,"[""620 miles/charge""]",2,2
101,Ford,F-150,2015,truck,gasoline,"[19,26]",5,4
